Readable,Epoch,Train_Loss,IN_PSNR,OUT_PSNR,IN_SSIM,OUT_SSIM,PSNR_Diff
Radius 5 | Fibre: False | Axis: X | Norm: Yes,37,0.0002,32.17,33.22,0.93,0.94,1.0499999999999972
Radius 5 | Fibre: False | Axis: X | Norm: Yes,38,0.0002,32.17,33.2,0.93,0.93,1.0300000000000011
Radius 5 | Fibre: False | Axis: X | Norm: Yes,39,0.0002,32.17,33.09,0.93,0.93,0.9200000000000017
Radius 5 | Fibre: False | Axis: X | Norm: Yes,40,0.0002,32.17,33.07,0.93,0.93,0.8999999999999986
Radius 5 | Fibre: False | Axis: X | Norm: Yes,41,0.0002,32.17,32.98,0.93,0.93,0.8099999999999952
Radius 5 | Fibre: False | Axis: X | Norm: Yes,42,0.0002,32.17,33.16,0.93,0.94,0.9899999999999949
Radius 5 | Fibre: False | Axis: X | Norm: Yes,43,0.0002,32.17,33.14,0.93,0.93,0.9699999999999989
Radius 5 | Fibre: False | Axis: X | Norm: Yes,44,0.0001,32.17,33.13,0.93,0.94,0.9600000000000009
Radius 5 | Fibre: False | Axis: X | Norm: Yes,45,0.0001,32.17,33.1,0.93,0.93,0.9299999999999997
Radius 5 | Fibre: False | Axis: X | Norm: Yes,46,0.0001,32.17,33.16,0.93,0.94,0.9899999999999949
Radius 5 | Fibre: False | Axis: X | Norm: Yes,47,0.0001,32.17,33.11,0.93,0.93,0.9399999999999977
Radius 5 | Fibre: False | Axis: X | Norm: Yes,48,0.0001,32.17,33.18,0.93,0.94,1.009999999999998
Radius 5 | Fibre: False | Axis: X | Norm: Yes,49,0.0002,32.17,33.06,0.93,0.93,0.8900000000000006
Radius 5 | Fibre: False | Axis: X | Norm: Yes,50,0.0001,32.17,33.1,0.93,0.93,0.9299999999999997
Radius 5 | Fibre: False | Axis: Y | Norm: No,1,34.7197,31.69,33.06,0.93,0.94,1.370000000000001
Radius 5 | Fibre: False | Axis: Y | Norm: No,2,19.3711,31.69,33.15,0.93,0.94,1.4599999999999973
Radius 5 | Fibre: False | Axis: Y | Norm: No,3,18.5552,31.69,33.25,0.93,0.94,1.5599999999999987
Radius 5 | Fibre: False | Axis: Y | Norm: No,4,17.7516,31.69,33.23,0.93,0.94,1.5399999999999956
Radius 5 | Fibre: False | Axis: Y | Norm: No,5,16.5479,31.69,33.28,0.93,0.94,1.5899999999999999
Radius 5 | Fibre: False | Axis: Y | Norm: No,6,16.1818,31.69,33.27,0.93,0.94,1.5800000000000018
Radius 5 | Fibre: False | Axis: Y | Norm: No,7,15.6419,31.69,33.07,0.93,0.94,1.379999999999999
Radius 5 | Fibre: False | Axis: Y | Norm: No,8,15.839,31.69,32.75,0.93,0.94,1.0599999999999987
Radius 5 | Fibre: False | Axis: Y | Norm: No,9,15.3874,31.69,33.26,0.93,0.94,1.5699999999999967
Radius 5 | Fibre: False | Axis: Y | Norm: No,10,15.1429,31.69,33.27,0.93,0.94,1.5800000000000018
Radius 5 | Fibre: False | Axis: Y | Norm: No,11,14.8414,31.69,33.13,0.93,0.94,1.4400000000000013
Radius 5 | Fibre: False | Axis: Y | Norm: No,12,14.859,31.69,33.2,0.93,0.93,1.5100000000000016
Radius 5 | Fibre: False | Axis: Y | Norm: No,13,14.3076,31.69,33.22,0.93,0.94,1.5299999999999976
Radius 5 | Fibre: False | Axis: Y | Norm: No,14,14.6351,31.69,33.18,0.93,0.94,1.4899999999999984
Radius 5 | Fibre: False | Axis: Y | Norm: No,15,14.2044,31.69,33.24,0.93,0.94,1.5500000000000007
Radius 5 | Fibre: False | Axis: Y | Norm: No,16,14.07,31.69,33.19,0.93,0.93,1.4999999999999964
Radius 5 | Fibre: False | Axis: Y | Norm: No,17,14.225,31.69,33.13,0.93,0.93,1.4400000000000013
Radius 5 | Fibre: False | Axis: Y | Norm: No,18,13.8352,31.69,33.11,0.93,0.93,1.4199999999999982
Radius 5 | Fibre: False | Axis: Y | Norm: No,19,13.8165,31.69,33.22,0.93,0.94,1.5299999999999976
Radius 5 | Fibre: False | Axis: Y | Norm: No,20,13.9252,31.69,33.14,0.93,0.94,1.4499999999999993
Radius 5 | Fibre: False | Axis: Y | Norm: No,21,13.763,31.69,33.16,0.93,0.93,1.4699999999999953
Radius 5 | Fibre: False | Axis: Y | Norm: No,22,13.6557,31.69,33.19,0.93,0.93,1.4999999999999964
Radius 5 | Fibre: False | Axis: Y | Norm: No,23,13.4379,31.69,33.1,0.93,0.93,1.4100000000000001
Radius 5 | Fibre: False | Axis: Y | Norm: No,24,13.306,31.69,33.09,0.93,0.93,1.4000000000000021
Radius 5 | Fibre: False | Axis: Y | Norm: No,25,13.4235,31.69,33.12,0.93,0.93,1.4299999999999962
Radius 5 | Fibre: False | Axis: Y | Norm: No,26,13.2426,31.69,33.06,0.93,0.93,1.370000000000001
Radius 5 | Fibre: False | Axis: Y | Norm: No,27,13.1467,31.69,33.19,0.93,0.94,1.4999999999999964
Radius 5 | Fibre: False | Axis: Y | Norm: No,28,13.2804,31.69,33.01,0.93,0.93,1.3199999999999967
Radius 5 | Fibre: False | Axis: Y | Norm: No,29,12.9692,31.69,33.15,0.93,0.94,1.4599999999999973
Radius 5 | Fibre: False | Axis: Y | Norm: No,30,12.8673,31.69,33.06,0.93,0.93,1.370000000000001
Radius 5 | Fibre: False | Axis: Y | Norm: No,31,12.9534,31.69,33.09,0.93,0.93,1.4000000000000021
Radius 5 | Fibre: False | Axis: Y | Norm: No,32,12.864,31.69,33.11,0.93,0.93,1.4199999999999982
Radius 5 | Fibre: False | Axis: Y | Norm: No,33,13.1416,31.69,33.0,0.93,0.93,1.3099999999999987
Radius 5 | Fibre: False | Axis: Y | Norm: No,34,12.9182,31.69,33.13,0.93,0.94,1.4400000000000013
